Title:,Gross Domestic Product,Store Closings(in thousands)
Series ID:,GDP,
Source:,U.S. Bureau of Economic Analysis,
Release:,Gross Domestic Product,
Seasonal Adjustment:,Seasonally Adjusted Annual Rate,
Frequency:,Quarterly,
Units:,Compounded Annual Rate of Change,
Date Range:,1995-01-01 to 2016-10-01,
Last Updated:,2017-02-28 7:51 AM CST,
Notes:,BEA Account Code: A191RC1,
,,
,"Gross domestic product (GDP), the featured measure of U.S. output, is",
,the market value of the goods and services produced by labor and,
,property located in the United States.,
,,
,"For more information, see the Guide to the National Income and Product",
,Accounts of the United States (NIPA) -,
,(http://www.bea.gov/national/pdf/nipaguid.pdf),
,,
DATE,VALUE,
1995-01-01,3.7,35
1995-04-01,3.2,45
1995-07-01,5.5,33
1995-10-01,4.9,36
1996-01-01,4.9,36
1996-04-01,8.8,50
1996-07-01,4.9,35
1996-10-01,6.4,36
1997-01-01,5.7,35
1997-04-01,7.3,48
1997-07-01,6.7,34
1997-10-01,4.5,37
1998-01-01,4.7,39
1998-04-01,4.8,51
1998-07-01,6.9,33
1998-10-01,8.1,36
1999-01-01,5.3,36
1999-04-01,4.7,49
1999-07-01,6.7,35
1999-10-01,9.1,39
2000-01-01,4.3,36
2000-04-01,10.2,46
2000-07-01,3.1,33
2000-10-01,4.5,36
2001-01-01,1.4,35
2001-04-01,5.1,47
2001-07-01,0.0,34
2001-10-01,2.3,37
2002-01-01,5.1,34
2002-04-01,3.8,44
2002-07-01,3.8,32
2002-10-01,2.4,32
2003-01-01,4.6,33
2003-04-01,5.1,44
2003-07-01,9.3,30
2003-10-01,6.8,32
2004-01-01,5.9,32
2004-04-01,6.6,43
2004-07-01,6.3,31
2004-10-01,6.4,34
2005-01-01,8.3,32
2005-04-01,5.1,44
2005-07-01,7.3,31
2005-10-01,5.4,35
2006-01-01,8.2,33
2006-04-01,4.5,43
2006-07-01,3.2,31
2006-10-01,4.6,35
2007-01-01,4.8,33
2007-04-01,5.4,43
2007-07-01,4.2,31
2007-10-01,3.2,33
2008-01-01,-0.5,32
2008-04-01,4.0,44
2008-07-01,0.8,33
2008-10-01,-7.7,35
2009-01-01,-4.5,36
2009-04-01,-1.2,50
2009-07-01,1.2,32
2009-10-01,5.2,34
2010-01-01,3.2,32
2010-04-01,5.8,42
2010-07-01,4.6,27
2010-10-01,4.7,30
2011-01-01,0.2,30
2011-04-01,6.0,40
2011-07-01,3.3,29
2011-10-01,5.2,29
2012-01-01,4.9,30
2012-04-01,3.8,38
2012-07-01,2.7,26
2012-10-01,1.7,29
2013-01-01,4.4,29
2013-04-01,1.6,38
2013-07-01,5.1,28
2013-10-01,6.1,28
2014-01-01,0.6,28
2014-04-01,6.3,37
2014-07-01,6.7,27
2014-10-01,2.8,28
2015-01-01,2.1,27
2015-04-01,4.9,38
2015-07-01,3.2,27
2015-10-01,1.8,28
2016-01-01,1.3,28
2016-04-01,3.7,35
2016-07-01,5.0,26
2016-10-01,3.9,
