STABBR,INSTNM,SATVRMID,SATMTMID,UGDS,UGDS_WHITE
FL,Webber International University,470.0,480.0,687.0,0.3916
FL,Florida Southern College,570.0,560.0,2352.0,0.7232
TX,The University of Texas at San Antonio,505.0,535.0,23815.0,0.2607
FL,Florida Gulf Coast University,530.0,520.0,13253.0,0.6615
CA,University of Redlands,550.0,550.0,3710.0,0.469
TX,Wayland Baptist University,460.0,480.0,3716.0,0.4319
CA,Sonoma State University,495.0,495.0,8441.0,0.5105
CA,Loyola Marymount University,590.0,610.0,6064.0,0.4672
TX,University of Houston,555.0,590.0,31643.0,0.2718
FL,University of South Florida-Main Campus,575.0,585.0,30279.0,0.5279
TX,Lamar University,475.0,485.0,9043.0,0.4902
FL,St Thomas University,465.0,460.0,931.0,0.0924
CA,San Francisco State University,490.0,500.0,25170.0,0.2195
TX,Texas Wesleyan University,475.0,505.0,1676.0,0.3085
CA,California State University-San Bernardino,440.0,450.0,16439.0,0.1588
