Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Break_Out_Category,Break_Out,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_limit_Low,Confidence_limit_High,CategoryId,TopicId,IndicatorID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
2000,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Race,Non-Hispanic White,Percentage,%,3.9,,,3.3,4.5,C1,T4,NS001,BOC04,RAC01,103,
2000,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Gender,Female,Percentage,%,2.7,,,2.2,3.4,C1,T4,NS001,BOC02,GEN02,103,
2000,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Race,Hispanic,Percentage,%,1.1,,,0.5,2.8,C1,T4,NS001,BOC04,RAC04,103,
2000,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Age,45-64,Percentage,%,4.1,,,3.2,5.2,C1,T4,NS001,BOC03,AGE05,103,
2000,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Overall,Overall,Percentage,%,3.8,,,3.3,4.4,C1,T4,NS001,BOC01,OVR01,103,
2000,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Race,Non-Hispanic Black,Percentage,%,3.1,,,2.1,4.5,C1,T4,NS001,BOC04,RAC02,103,
2000,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Age,25-44,Percentage,%,0.6,,,0.3,1.2,C1,T4,NS001,BOC03,AGE04,103,
2000,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Age,65+,Percentage,%,12.7,,,10.9,14.7,C1,T4,NS001,BOC03,AGE06,103,
2000,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Gender,Male,Percentage,%,5.2,,,4.3,6.3,C1,T4,NS001,BOC02,GEN01,103,
2000,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,C1,T4,NS001,BOC03,AGE01,103,
2000,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Race,Other,Percentage,%,6.4,,,3.3,12.2,C1,T4,NS001,BOC04,RAC07,103,
2000,NRE,Northeast,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Gender,Male,Percentage,%,4.5,,,3.7,5.4,C1,T4,NS001,BOC02,GEN01,101,
2000,NRE,Northeast,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Age,18-24,Percentage,%,0.1,,,0,0.6,C1,T4,NS001,BOC03,AGE01,101,
2000,NRE,Northeast,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Overall,Overall,Percentage,%,3.3,,,2.8,3.9,C1,T4,NS001,BOC01,OVR01,101,
2000,NRE,Northeast,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Gender,Female,Percentage,%,2.3,,,1.8,3,C1,T4,NS001,BOC02,GEN02,101,
2000,NRE,Northeast,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Race,Non-Hispanic Black,Percentage,%,2.8,,,1.7,4.5,C1,T4,NS001,BOC04,RAC02,101,
2000,NRE,Northeast,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+) (Percentage); NHIS,Age,65+,Percentage,%,10,,,8.3,12.1,C1,T4,NS001,BOC03,AGE06,101,
