Characteristic,Total,Not covered at any time during the year,Covered by some type of health insurance during the year,Covered by private insurance,Covered by Employment based,Covered by Own Employment based,Covered by Direct-purchase insurance,Covered by government health plan,Covered by Medicaid,Covered by Medicare,Covered by military related health care,Covered by Medicaid and private insurance,Covered by Medicare and private insurance,Covered by Medicare and Medicaid
Male,"154,842","17,657","137,185","106,152","90,422","51,889","17,605","51,727","26,411","24,129","8,491","6,250","12,712","3,846"
Female,"161,322","15,899","145,423","108,572","90,557","41,371","19,683","59,872","31,153","29,175","7,360","6,622","14,552","5,205"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
