id,name,game,round,boardPosition
1,DETECTIVE FICTION,1,0,0
2,THE OLD TESTAMENT,2,0,0
3,ASIAN HISTORY,4,0,0
4,RIVER SOURCES,5,0,0
5,WORLD RELIGION,3,0,0
6,SEAN SONG,2,0,1
7,ANIMATED MOVIES,1,0,1
8,NEW YORK CITY,6,0,0
9,AFRICAN WILDLIFE,7,0,0
10,LITTLE RED RIDING HOOD,8,0,0
11,THE 20th CENTURY,1,0,2
12,EUROPEAN CAPITALS,9,0,0
13,CAR TREK,5,0,1
14,WE LOVE BROADWAY,4,0,1
15,THE EXPERIENCE MUSIC PROJECT,3,0,1
16,SECONDS,6,0,1
17,THOSE ROCKIN' '90s,7,0,1
18,NEW ZEALAND,10,0,0
19,SHORTWAVE,8,0,1
20,SAM I AM,1,0,3
21,CITY WALK,2,0,2
22,THAT'S YOUNG!,4,0,2
23,PRO FOOTBALL,9,0,1
24,ISLANDS,4,0,3
25,"OH, FOR PETE'S SAKE!",6,0,2
26,TOYS &amp; GAMES,1,0,4
27,GROCERY SHOPPING,3,0,2
28,FIRST NAME'S THE SAME,7,0,2
29,SLOGANEERING,2,0,3
30,SMALL TOWN FOLKS,8,0,2
31,WHAT A CHARACTER!,5,0,2
32,SCRAMBLED VEEPS,1,0,5
33,CLASSIC GAMES,4,0,4
34,SPORTS STARS,10,0,1
35,PLANT THE EVIDENCE,9,0,2
36,A PROVERBIAL MESS,6,0,3
37,MICRONESIA,8,0,3
38,ROOM,2,0,4
39,THE LARGEST IN AREA,3,0,3
40,ROYAL HOUSES,9,0,3
41,ASTRONOMY,1,1,0
42,QUASI-RELATED PAIRS,4,0,5
43,SPEAKING IN TONGUES,10,0,2
44,POP CULTURE AMERICA,5,0,3
45,RATED &quot;P.G.&quot;,7,0,3
46,&quot;BOARD&quot;,2,0,5
47,A &quot;TINY&quot; CATEGORY,8,0,4
48,OPERA,6,0,4
49,MONTY PYTHON,4,1,0
50,RADIO,1,1,1
51,WORLD HISTORY,2,1,0
52,IT'S IN &quot;DE&quot; DICTIONARY,10,0,3
53,A PEANUTS TIMELINE,5,0,4
54,FEATHERS,3,0,4
55,FEMMES FATALES,7,0,4
56,THE COIN BOX,9,0,4
57,BRING OUT YOUR DEAD,4,1,1
58,MY NEWT,8,0,5
59,MAGAZINES &amp; NEWSPAPERS,1,1,2
60,SPIRITED CINEMA,2,1,1
61,THE QUEEN'S ENGLISH,3,0,5
62,"YOU'RE &quot;GOLDEN&quot;, BABY",5,0,5
63,THE TALES OF HOFFMAN,6,0,5
64,U.S. FACTS &amp; FIGURES,10,0,4
65,TALL BUILDINGS,8,1,0
66,"DANGER, CURVES AHEAD",7,0,5
67,PICK ONE,10,0,5
68,&quot;M&quot;-BRACE ME,9,0,5
69,TRANSPORTATION,2,1,2
70,SPAM,4,1,2
71,THAT'S OUR ISLAND!!!,1,1,3
72,19th CENTURY AMERICA,6,1,0
73,THE WAR OF 1812,3,1,0
74,GEOLOGY,5,1,0
75,"FISH, BIRD, OR MAMMAL",2,1,3
76,HISTORICAL PEOPLE,10,1,0
77,SUMMARIZING PROUST,4,1,3
78,SPORTS GIANTS,8,1,1
79,HODGEPODGE,3,1,1
80,AMERICAN LITERATURE,7,1,0
81,'80s SONGS,6,1,1
82,"DR. SEUSS MEETS THE BARD, REDUX",9,1,0
83,MUSIC,5,1,1
84,4-LETTER WORDS,1,1,4
85,PRUFROCKIAN PONDERINGS,2,1,4
86,FLOWER POWER,6,1,2
87,DOC TALK,3,1,2
88,CHARADES,9,1,1
89,I'M A LUMBERJACK,4,1,4
90,&quot;G&quot; MOVIES,10,1,1
91,WHO PLAYED 'EM?,7,1,1
92,HEAPING PORTIONS,8,1,2
93,RHYME TIME,6,1,3
94,RELIGIOUS TITLES,5,1,2
95,@$&amp;!,1,1,5
96,19th CENTURY WOMEN,9,1,2
97,YOU GET AN &quot;A&quot;,2,1,5
98,LOTS OF SPACE,8,1,3
99,CANADIAN PROVINCIAL CAPITALS,6,1,4
100,KNIGHTS WHO SAY &quot;NI&quot;,4,1,5
101,LISTEN TO THE ANIMALS,10,1,2
102,BASEBALL: THE 1930s,3,1,3
103,THE VAST &amp; THE FURIOUS,8,1,4
104,PATRON SAINTS,1,2,0
105,BIG WORDS,8,1,5
106,RECENT FICTION,11,0,0
107,COMIC BOOKS,2,2,0
108,CONTRACTIONS,9,1,3
109,LET'S CUT TO THE CHASE,6,1,5
110,PAINTINGS,7,1,2
111,WE'LL GIVE YOU THE BLUES,10,1,3
112,MARILYN MONROE MOVIES,4,2,0
113,FAMOUS KENTUCKIANS,5,1,3
114,HISTORIC MEDIUMS,8,2,0
115,WHO'S THE SUBJECT?,3,1,4
116,RELIGION,12,0,0
117,IMAGINARY RACES,13,0,0
118,JAMES,9,1,4
119,ALIASES,6,2,0
120,U.S. LAKES,14,0,0
121,MODERN DANCE,10,1,4
122,LONGSHOTS,7,1,3
123,BASEBALL ROOKIES OF THE YEAR,11,0,1
124,MISHMASH,5,1,4
125,SCIENCE &amp; TECHNOLOGY,15,0,0
126,CHAMPIONSHIP MOVIES,13,0,1
127,&quot;I&quot; CATCHING,3,1,5
128,PRO FOOTBALL,14,0,1
129,"BOND, COMMON BOND",9,1,5
130,ON THE &quot;PHONE&quot;,5,1,5
131,MULTIPLE TONY WINNERS,12,0,1
132,ANAGRAMMED WEST WING STARS,15,0,1
133,WAXING PHILOSOPHICAL,11,0,2
134,BEFORE &amp; AFTER,10,1,5
135,YUCATAN LINES,7,1,4
136,COUNTRY NAMES,5,2,0
137,COUNTRIES THAT END IN &quot;IA&quot;,12,0,2
138,NAMED FOR A FRENCH KING'S MISTRESS,13,0,2
139,BIRD-BRAINED BALLETS,15,0,2
140,CHAIN OF COMMAND,14,0,2
141,WAR MOVIES,3,2,0
142,NEW HAMPSHIRE,16,0,0
143,AMERICAN AUTHORS,10,2,0
144,AMERICANS IN PARIS,15,0,3
