state,sale_start,sale_end,sale_key,revenue
Arkansas,2014-12-24,2014-12-24,0,1311.0
Florida,2014-10-15,2014-10-17,1,698.0
Iowa,2014-09-07,2014-09-07,2,1193.0
Indiana,2014-05-19,2014-05-22,3,469.0
Maine,2014-04-19,2014-04-19,4,334.0
Arkansas,2014-12-07,2014-12-09,5,1200.0
Idaho,2014-11-15,2014-11-18,6,1258.0
Alaska,2014-04-19,2014-04-22,7,716.0
Missouri,2014-06-27,2014-06-29,8,1300.0
Maine,2014-04-08,2014-04-09,9,260.0
California,2014-09-13,2014-09-14,10,622.0
Nebraska,2014-05-22,2014-05-23,11,787.0
Delaware,2014-08-25,2014-08-25,12,936.0
Kansas,2014-06-17,2014-06-19,13,1250.0
Missouri,2014-12-08,2014-12-09,14,1109.0
Oklahoma,2014-08-07,2014-08-10,15,594.0
Nebraska,2014-10-17,2014-10-18,16,679.0
Alaska,2014-05-21,2014-05-24,17,649.0
Delaware,2014-11-27,2014-11-28,18,964.0
Nebraska,2014-08-28,2014-08-31,19,702.0
Kansas,2014-10-05,2014-10-07,20,1053.0
Nevada,2014-05-19,2014-05-21,21,414.0
Indiana,2014-05-05,2014-05-07,22,529.0
Missouri,2014-03-07,2014-03-10,23,1302.0
Montana,2014-10-12,2014-10-12,24,817.0
Indiana,2014-08-08,2014-08-11,25,560.0
Arkansas,2014-09-04,2014-09-07,26,1158.0
Indiana,2014-03-25,2014-03-28,27,435.0
Oklahoma,2014-05-23,2014-05-23,28,512.0
Florida,2014-07-23,2014-07-26,29,912.0
Montana,2014-11-12,2014-11-15,30,761.0
Montana,2014-08-06,2014-08-07,31,978.0
Indiana,2014-02-26,2014-02-28,32,651.0
Ohio,2014-02-04,2014-02-07,33,819.0
Montana,2014-03-30,2014-03-30,34,827.0
Georgia,2014-07-19,2014-07-22,35,1366.0
New Mexico,2014-10-13,2014-10-15,36,1021.0
Iowa,2014-02-28,2014-03-03,37,1133.0
Louisiana,2014-05-24,2014-05-26,38,1437.0
Ohio,2014-02-01,2014-02-02,39,617.0
Nebraska,2014-01-17,2014-01-20,40,821.0
Mississippi,2014-02-14,2014-02-14,41,633.0
Kansas,2014-07-29,2014-07-29,42,1336.0
Florida,2014-05-27,2014-05-29,43,931.0
Delaware,2014-10-24,2014-10-27,44,927.0
Idaho,2014-11-28,2014-11-29,45,1250.0
Ohio,2014-12-07,2014-12-08,46,606.0
Maine,2014-02-08,2014-02-08,47,346.0
Oklahoma,2014-01-24,2014-01-26,48,617.0
Illinois,2014-04-27,2014-04-28,49,1260.0
Florida,2014-04-07,2014-04-10,50,816.0
Oregon,2014-10-09,2014-10-10,51,758.0
Washington,2014-03-23,2014-03-23,52,899.0
Oregon,2014-05-30,2014-05-30,53,999.0
Texas,2014-07-21,2014-07-23,54,1276.0
Oklahoma,2014-06-27,2014-06-29,55,504.0
Texas,2014-11-26,2014-11-26,56,1143.0
California,2014-07-29,2014-07-29,57,716.0
Oregon,2014-01-13,2014-01-13,58,753.0
Kansas,2014-12-24,2014-12-24,59,1145.0
Montana,2014-08-23,2014-08-24,60,928.0
Oregon,2014-11-01,2014-11-01,61,725.0
Georgia,2014-07-09,2014-07-09,62,1146.0
Kansas,2014-10-29,2014-10-29,63,982.0
Mississippi,2014-10-31,2014-11-03,64,679.0
Mississippi,2014-02-13,2014-02-13,65,671.0
Louisiana,2014-11-06,2014-11-07,66,1354.0
Illinois,2014-04-21,2014-04-24,67,1479.0
Indiana,2014-04-06,2014-04-08,68,699.0
Arkansas,2014-11-09,2014-11-10,69,1092.0
Florida,2014-06-28,2014-06-30,70,931.0
Mississippi,2014-04-05,2014-04-08,71,557.0
Washington,2014-11-18,2014-11-18,72,912.0
Montana,2014-12-16,2014-12-18,73,782.0
Maine,2014-01-13,2014-01-16,74,426.0
Maine,2014-05-30,2014-06-01,75,347.0
Arkansas,2014-12-16,2014-12-17,76,1037.0
Texas,2014-12-19,2014-12-19,77,1142.0
Washington,2014-10-17,2014-10-17,78,932.0
Nebraska,2014-04-23,2014-04-25,79,825.0
Oklahoma,2014-05-30,2014-05-30,80,561.0
New Mexico,2014-07-12,2014-07-12,81,1278.0
Montana,2014-12-17,2014-12-20,82,917.0
Maine,2014-04-12,2014-04-15,83,599.0
Alaska,2014-02-28,2014-03-01,84,622.0
Ohio,2014-03-31,2014-04-03,85,621.0
California,2014-02-21,2014-02-23,86,636.0
Idaho,2014-05-09,2014-05-12,87,1452.0
Indiana,2014-01-04,2014-01-06,88,602.0
Oklahoma,2014-04-11,2014-04-12,89,641.0
Florida,2014-05-25,2014-05-25,90,982.0
Oregon,2014-02-19,2014-02-22,91,768.0
Iowa,2014-09-10,2014-09-11,92,1069.0
Florida,2014-12-17,2014-12-20,93,831.0
Texas,2014-08-30,2014-08-31,94,1272.0
New York,2014-05-20,2014-05-23,95,725.0
Missouri,2014-07-23,2014-07-25,96,1177.0
California,2014-01-22,2014-01-25,97,733.0
Oklahoma,2014-01-21,2014-01-23,98,692.0
Iowa,2014-02-02,2014-02-04,99,1286.0
Indiana,2014-12-16,2014-12-18,100,562.0
Iowa,2014-09-19,2014-09-21,101,1089.0
Ohio,2014-06-19,2014-06-22,102,535.0
Georgia,2014-02-01,2014-02-03,103,1418.0
Delaware,2014-11-08,2014-11-09,104,790.0
Alaska,2014-10-29,2014-11-01,105,690.0
Indiana,2014-06-10,2014-06-10,106,585.0
Ohio,2014-05-26,2014-05-27,107,818.0
New York,2014-07-07,2014-07-10,108,721.0
Mississippi,2014-04-28,2014-04-29,109,526.0
Missouri,2014-11-09,2014-11-11,110,1171.0
Florida,2014-06-09,2014-06-10,111,978.0
Louisiana,2014-08-04,2014-08-06,112,1444.0
Mississippi,2014-06-20,2014-06-22,113,640.0
Arkansas,2014-07-16,2014-07-18,114,1090.0
Illinois,2014-11-24,2014-11-25,115,1316.0
Alaska,2014-03-24,2014-03-24,116,708.0
Oregon,2014-04-11,2014-04-12,117,812.0
Oregon,2014-01-03,2014-01-06,118,847.0
Mississippi,2014-07-31,2014-08-01,119,837.0
Oklahoma,2014-03-29,2014-03-31,120,409.0
Delaware,2014-07-09,2014-07-10,121,874.0
Texas,2014-09-13,2014-09-14,122,1147.0
Florida,2014-11-16,2014-11-17,123,874.0
Louisiana,2014-08-31,2014-09-01,124,1375.0
Washington,2014-12-23,2014-12-23,125,774.0
Indiana,2014-05-09,2014-05-11,126,628.0
California,2014-03-16,2014-03-19,127,768.0
Maine,2014-08-03,2014-08-06,128,325.0
Oregon,2014-03-03,2014-03-06,129,871.0
Illinois,2014-12-06,2014-12-09,130,1287.0
New York,2014-09-14,2014-09-17,131,742.0
Florida,2014-11-08,2014-11-11,132,776.0
Montana,2014-12-23,2014-12-23,133,966.0
Maine,2014-04-08,2014-04-09,134,216.0
Texas,2014-12-06,2014-12-09,135,1174.0
Nebraska,2014-12-24,2014-12-26,136,534.0
Mississippi,2014-05-18,2014-05-19,137,701.0
Alaska,2014-11-08,2014-11-08,138,753.0
Oklahoma,2014-01-17,2014-01-20,139,638.0
